total_structures,valid_structures,validity_rate,best_objective,avg_objective,worst_objective,min_e_hull_distance,avg_e_hull_distance,stable_structures_003,stable_structures_01,stability_rate_003,stability_rate_01,metastability_rate_003,metastability_rate_01,iteration
47,47,1.0,-0.16589416287738779,0.23679362545648905,9.022470624291275,-0.16589416287738779,0.23679362545648905,29,35,0.6170212765957447,0.7446808510638298,0.6170212765957447,0.7446808510638298,1
47,47,1.0,-0.21075082270964884,0.10372829663054994,1.4266624204952851,-0.21075082270964884,0.10372829663054994,19,29,0.40425531914893614,0.6170212765957447,0.40425531914893614,0.6170212765957447,2
78,78,1.0,-0.09668058181602213,0.29543406576039904,8.6743079316923,-0.09668058181602213,0.29543406576039904,20,42,0.2564102564102564,0.5384615384615384,0.2564102564102564,0.5384615384615384,3
141,141,1.0,-0.1562530657646839,0.4012113707576839,9.792165643284697,-0.1562530657646839,0.4012113707576839,30,68,0.2127659574468085,0.48226950354609927,0.2127659574468085,0.48226950354609927,4
143,143,1.0,-0.1170977332505716,0.33692638826220633,9.301705566730956,-0.1170977332505716,0.33692638826220633,36,77,0.2517482517482518,0.5384615384615384,0.2517482517482518,0.5384615384615384,5
177,177,1.0,-0.1562525889275257,0.2383366324538547,10.444630498732856,-0.1562525889275257,0.2383366324538547,34,93,0.192090395480226,0.5254237288135594,0.192090395480226,0.5254237288135594,6
153,153,1.0,-0.1121745058987873,0.08994901798025236,0.669760212778673,-0.1121745058987873,0.08994901798025236,38,97,0.24836601307189543,0.6339869281045751,0.24836601307189543,0.6339869281045751,7
170,170,1.0,-0.1562525889275257,0.17851812419390953,5.3040625722927786,-0.1562525889275257,0.17851812419390953,47,104,0.27647058823529413,0.611764705882353,0.27647058823529413,0.611764705882353,8
182,182,1.0,-0.14589711636282843,0.09922669590995248,1.9765956180189193,-0.14589711636282843,0.09922669590995248,57,127,0.3131868131868132,0.6978021978021978,0.3131868131868132,0.6978021978021978,9
199,199,1.0,-0.17589025755470544,0.1748347167861074,8.931156988925416,-0.17589025755470544,0.1748347167861074,81,153,0.40703517587939697,0.7688442211055276,0.40703517587939697,0.7688442211055276,10
